y_true,y_pred
23914606.957896195,3.3935348e+07
96013561.0122451,8.516194e+07
209450920.45993233,1.883966e+08
348796773.61523706,3.676728e+08
10019061.634659003,1.4822428e+07
4975318.765551992,9.409837e+06
199235878.5302461,1.7301013e+08
8537681.143244324,1.1148655e+07
68339603.31127323,6.442291e+07
180276077.90943435,1.6288206e+08
60008693.41855274,7.553813e+07
39824784.39757623,6.6432936e+07
26429728.127076447,2.7336398e+07
32933469.21490072,3.637809e+07
32933469.21490072,1.1417269e+08
74775436.5018106,5.5140532e+07
19000958.81870862,1.6929196e+07
189519030.07422003,1.4168994e+08
65006641.528389476,9.3739256e+07
229175810.8656434,1.5400845e+08
114949102.3390151,8.07844e+07
30098924.554667726,4.0508836e+07
36397112.40764796,2.9274082e+07
102975329.69698377,7.9723016e+07
480337721.05634475,3.6918083e+08
169777616.42877573,1.7303322e+08
16518640.029517895,2.9071598e+07
50123474.03822877,1.071639e+08
18074271.122081954,6.0947756e+07
39824784.39757623,3.2985252e+07
116104360.02369751,1.26693816e+08
199235878.5302461,1.9208859e+08
28630982.68222707,2.9531942e+07
124522876.0047006,1.0137989e+08
80197267.40504706,8.119004e+07
34969961.21690818,2.8046114e+07
499940675.3264629,4.606938e+08
13660240.252732258,4.1424576e+07
52169051.818940915,4.0819464e+07
11994994.551201342,1.6303427e+07
133551803.2683458,1.21213016e+08
158299600.31655303,2.0067112e+08
36762909.46872613,2.7202468e+07
41866644.756578766,3.8411564e+07
37882506.74337142,3.558138e+07
81817359.67311303,6.028815e+07
44902319.023094684,3.7974556e+07
397219665.8050841,2.2443216e+08
54843816.30259567,7.937631e+07
377847034.1041358,2.2470371e+08
178482300.96318725,1.2065044e+08
279915967.4948901,2.3405766e+08
16852338.69353376,3.2203454e+07
164759929.55981764,1.402881e+08
12864729.79026319,2.4605822e+07
250758278.6964761,2.0179418e+08
348796773.61523706,1.9712678e+08
271643200.4243261,1.3284237e+08
41866644.756578766,2.541674e+07
22521928.667553768,2.8435118e+07
119640264.19819069,8.02111e+07
60008693.41855274,3.5283136e+07
52169051.818940915,5.1417708e+07
39036200.8312318,6.125951e+07
250758278.6964761,2.0152992e+08
438995622.7355058,4.9084483e+08
60008693.41855274,1.2157166e+08
31960138.103857778,3.3232548e+07
37882506.74337142,4.2668264e+07
6920509.831830581,1.942038e+07
33936442.671313055,3.7887304e+07
129604750.97911508,9.239075e+07
51136035.38059728,7.94216e+07
97953163.60543309,1.06536e+08
89522450.91498001,1.7299856e+08
106111395.37161528,6.84576e+07
53222936.57360876,7.742732e+07
15556669.322844986,1.4661901e+07
82639637.80821343,8.768646e+07
189519030.07422003,1.4248154e+08
69026427.74301739,5.192982e+07
50123474.03822877,4.7902444e+07
44902319.023094684,4.4314268e+07
60008693.41855274,2.64381e+07
149080949.25869176,1.7179902e+08
106111395.37161528,8.077485e+07
268940305.4191956,1.9122403e+08
36762909.46872613,5.861009e+07
240925905.95158944,1.4082213e+08
8797692.243505554,2.3858518e+07
144674941.34526902,8.373343e+07
89522450.91498001,6.3090516e+07
10019061.634659003,1.0271916e+07
36034955.08814159,2.046656e+07
150579237.7078077,8.231302e+07
164759929.55981764,6.2686292e+07
217998774.6792103,7.1553816e+07
24890580.58235468,2.8301366e+07
309354986.78036124,2.5293866e+08
43141673.91083772,4.9580332e+07
65006641.528389476,4.8988216e+07
65006641.528389476,1.15116e+08
129604750.97911508,1.950674e+08
29799435.251377594,2.655211e+07
18811896.11953723,2.0514006e+07
15556669.322844986,1.5924119e+07
127038404.96398106,1.0786442e+08
189519030.07422003,1.8325691e+08
80197267.40504706,4.7889836e+07
57082034.90556967,4.0320212e+07
85156389.4637501,7.837244e+07
95058210.11783905,1.3400306e+08
18074271.122081954,1.2838047e+07
250758278.6964761,1.6222723e+08
57082034.90556967,5.2998604e+07
15556669.322844986,1.967957e+07
229175810.8656434,1.5484614e+08
95058210.11783905,9.342173e+07
85156389.4637501,5.819248e+07
47204510.14923478,4.4132744e+07
80197267.40504706,1.1730098e+08
150579237.7078077,1.4633274e+08
44902319.023094684,3.149949e+07
250758278.6964761,3.0229405e+08
38647784.14316012,3.7013244e+07
57082034.90556967,3.1024508e+07
14946683.593774399,1.8341662e+07
74775436.5018106,1.2704833e+08
107177832.62463401,1.297485e+08
118449823.67912504,1.0062126e+08
35321415.17006491,3.9098104e+07
46269798.22237505,6.7250776e+07
25906384.44601858,3.7480132e+07
136249728.657356,8.977034e+07
229175810.8656434,1.7331992e+08
66986388.50001999,5.7902736e+07
189519030.07422003,2.8036288e+08
16030440.436941221,1.9526496e+07
89522450.91498001,1.01793176e+08
81817359.67311303,5.223578e+07
90422166.50445993,1.00843176e+08
215829650.62867492,2.273932e+08
99931948.7701232,1.0309549e+08
92248815.43597242,7.875996e+07
149080949.25869176,1.4237776e+08
18811896.11953723,2.904466e+07
44902319.023094684,4.7860344e+07
34969961.21690818,4.6171484e+07
50123474.03822877,4.457936e+07
266264304.66872466,2.7875578e+08
69720154.87505783,5.3958516e+07
180276077.90943435,1.994592e+08
90422166.50445993,1.04700024e+08
65006641.528389476,6.037906e+07
26963644.051786218,3.1334942e+07
9919370.3057168,2.261056e+07
274373259.9758682,1.9745453e+08
598537657.0316849,4.3200237e+08
133551803.2683458,1.1815065e+08
21423521.245083287,1.7320252e+07
99931948.7701232,5.021177e+07
158299600.31655303,1.0520187e+08
16518640.029517895,1.9740886e+07
27234633.179704748,3.2643772e+07
209450920.45993233,7.110418e+07
44902319.023094684,3.2554112e+07
41866644.756578766,3.1343192e+07
39824784.39757623,6.3520976e+07
144674941.34526902,1.543643e+08
85156389.4637501,4.8823204e+07
58820441.67573725,8.915995e+07
86876662.64275812,1.1091268e+08
35676401.29417339,5.2145496e+07
29209366.898690887,4.423227e+07
85156389.4637501,8.8355656e+07
105055569.34655978,1.7192784e+08
74775436.5018106,1.01186904e+08
61836230.209774315,4.386228e+07
118449823.67912504,1.1029373e+08
16030440.436941221,2.1246854e+07
69720154.87505783,4.3891824e+07
28918728.84196732,2.1009976e+07
88631687.64519419,4.488609e+07
21856305.082325634,2.4002842e+07
17021707.51316273,2.17197e+07
114949102.3390151,1.1904665e+08
19000958.81870862,2.0879662e+07
268940305.4191956,2.7374294e+08
11875642.361239046,2.028855e+07
169777616.42877573,1.394975e+08
149080949.25869176,1.8563578e+08
86876662.64275812,1.0589057e+08
85156389.4637501,1.3316786e+08
268940305.4191956,1.57639e+08
65006641.528389476,6.4538028e+07
16852338.69353376,1.8899362e+07
105055569.34655978,7.1044664e+07
28064051.240587573,4.4213292e+07
11994994.551201342,1.7381676e+07
248263192.13467333,1.5920757e+08
18811896.11953723,2.4913016e+07
95058210.11783905,8.510348e+07
65006641.528389476,4.7024244e+07
50123474.03822877,6.0629596e+07
69720154.87505783,3.9545324e+07
155165058.21527496,1.4584427e+08
41450064.68088622,1.510777e+07
129604750.97911508,9.808886e+07
80197267.40504706,1.0045865e+08
134894021.20558435,8.846172e+07
53757835.97888369,2.2329412e+07
97953163.60543309,7.9857096e+07
31960138.103857778,6.8197736e+07
18074271.122081954,2.5382538e+07
31960138.103857778,4.0006052e+07
77827079.95602347,4.1467816e+07
377847034.1041358,2.4092203e+08
74775436.5018106,7.003453e+07
77827079.95602347,4.488001e+07
44902319.023094684,3.0568226e+07
65006641.528389476,2.7196814e+07
134894021.20558435,1.012174e+08
124522876.0047006,7.60718e+07
12864729.79026319,1.8864534e+07
38647784.14316012,2.448041e+07
60008693.41855274,9.0535864e+07
124522876.0047006,1.109074e+08
63719423.78225522,6.612498e+07
96013561.0122451,8.614821e+07
41037629.64620374,2.9291788e+07
54843816.30259567,8.2922856e+07
70420854.08068635,6.101894e+07
300212165.201959,2.6826453e+08
338488271.0710365,2.0125411e+08
124522876.0047006,1.31700024e+08
318776248.72895277,2.0421416e+08
77827079.95602347,1.0365783e+08
158299600.31655303,8.288854e+07
338488271.0710365,6.042783e+08
92248815.43597242,7.617271e+07
84309069.23126505,9.115636e+07
185766301.8451336,1.4852491e+08
74775436.5018106,2.7819046e+07
69720154.87505783,5.3925908e+07
159890537.74909166,1.1088773e+08
19000958.81870862,2.5399828e+07
63085404.92221469,2.5980402e+07
65659969.13733051,3.5913972e+07
288440677.83109504,2.447202e+08
54843816.30259567,5.381812e+07
84309069.23126505,7.39918e+07
47204510.14923478,1.3905334e+08
159890537.74909166,1.4517235e+08
24890580.58235468,3.9839748e+07
19975158.809539437,2.4738762e+07
99931948.7701232,8.281127e+07
447863922.58064455,2.538444e+08
95058210.11783905,1.10947176e+08
180276077.90943435,1.8997022e+08
215829650.62867492,2.5436928e+08
65006641.528389476,5.6921052e+07
8886110.520507872,1.5037938e+07
20583492.96173147,2.1996776e+07
149080949.25869176,2.0227781e+08
195290743.81045318,6.111002e+07
53757835.97888369,5.9311148e+07
132222940.62272716,1.2820704e+08
164759929.55981764,1.4820766e+08
255823931.94894752,2.236958e+08
97953163.60543309,1.2069647e+08
39824784.39757623,4.2261508e+07
28064051.240587573,4.594983e+07
105055569.34655978,8.0854696e+07
150579237.7078077,1.3224398e+08
99931948.7701232,1.7381816e+08
17894429.1195546,2.7783732e+07
60008693.41855274,8.203247e+07
97953163.60543309,1.2082776e+08
96978513.34276429,1.4214144e+08
34969961.21690818,3.2909842e+07
46734817.42546073,3.626012e+07
113805339.66035822,1.3076787e+08
48158104.5095559,4.4597812e+07
66986388.50001999,6.6694348e+07
14946683.593774399,1.8366764e+07
85156389.4637501,1.42123e+08
139002155.7545164,1.0411754e+08
195290743.81045318,1.6574112e+08
71843449.69894482,7.953347e+07
9919370.3057168,1.8209726e+07
159890537.74909166,1.2159277e+08
25906384.44601858,1.953555e+07
14946683.593774399,1.272527e+07
24890580.58235468,2.7539032e+07
224637825.76450363,1.2522303e+08
180276077.90943435,8.597848e+07
150579237.7078077,1.7694512e+08
150579237.7078077,1.0435233e+08
33598769.424771614,4.5906468e+07
15870934.889519572,1.4282022e+07
3992786.8352109445,3.0127564e+07
6016402.215460316,1.446248e+07
22075964.60024559,1.7574056e+07
158299600.31655303,1.3520792e+08
84309069.23126505,7.276495e+07
95058210.11783905,1.2140761e+08
96013561.0122451,9.421533e+07
23207823.508858494,2.93359e+07
80197267.40504706,9.019529e+07
26963644.051786218,2.2015916e+07
13936195.410924874,1.756233e+07
24890580.58235468,3.8774828e+07
63085404.92221469,9.099898e+07
19975158.809539437,3.1688828e+07
12994022.474147985,2.7190328e+07
51649961.080194294,9.2598056e+07
105055569.34655978,9.410058e+07
29799435.251377594,2.6715838e+07
60008693.41855274,5.2858984e+07
231479066.0564932,1.8788238e+08
22976901.80662535,3.1316356e+07
12736723.590078022,1.589708e+07
180276077.90943435,1.32652216e+08
49130962.75379746,3.608281e+07
118449823.67912504,1.0390823e+08
36034955.08814159,3.878888e+07
189519030.07422003,1.9035395e+08
44902319.023094684,3.652228e+07
15870934.889519572,1.4731954e+07
63719423.78225522,4.290976e+07
80197267.40504706,5.1488664e+07
150579237.7078077,1.2978983e+08
250758278.6964761,1.2451449e+08
119640264.19819069,1.1604455e+08
69720154.87505783,1.0162343e+08
7881273.023565777,1.7286094e+07
36762909.46872613,2.7796082e+07
4282296.54676787,1.2408672e+07
140399150.64490905,9.68256e+07
111551842.95030783,1.4993296e+08
366679966.61090904,2.5970904e+08
98937609.26609069,6.1737976e+07
119640264.19819069,1.5795504e+08
4501854.585727924,1.7293118e+07
238528653.13323843,3.3173037e+08
95058210.11783905,7.8784296e+07
266264304.66872466,2.9628944e+08
42712407.08308578,3.9359384e+07
18811896.11953723,2.5997904e+07
26963644.051786218,1.9284472e+07
11524664.08748392,1.5254196e+07
22075964.60024559,2.080211e+07
159890537.74909166,1.4087235e+08
144674941.34526902,1.379036e+08
125774351.71434873,1.4776453e+08
44902319.023094684,4.334432e+07
74775436.5018106,8.897394e+07
24890580.58235468,1.7244732e+07
21856305.082325634,2.9431624e+07
17021707.51316273,2.9022732e+07
42712407.08308578,5.5208516e+07
44013193.53483411,4.6897772e+07
118449823.67912504,8.385586e+07
10019061.634659003,2.0381558e+07
58820441.67573725,8.1551656e+07
117271228.24113584,1.2094789e+08
17540095.6825692,1.4417914e+07
84309069.23126505,4.525997e+07
110441883.56736541,9.133231e+07
95058210.11783905,8.3429256e+07
19776402.658497788,2.0491208e+07
140399150.64490905,9.724017e+07
78609255.11325425,1.4150277e+08
41037629.64620374,2.0072576e+07
11524664.08748392,1.7384262e+07
137619061.1955347,1.3490552e+08
164759929.55981764,1.6412293e+08
155165058.21527496,1.2376367e+08
71843449.69894482,4.6155196e+07
328484430.81944376,2.860371e+08
199235878.5302461,1.3703493e+08
31960138.103857778,7.119293e+07
85156389.4637501,8.7883864e+07
136249728.657356,1.077692e+08
57655718.89387505,5.1661796e+07
129604750.97911508,1.0325922e+08
65659969.13733051,1.01464616e+08
34969961.21690818,2.9701864e+07
32933469.21490072,4.2142776e+07
74775436.5018106,5.4469652e+07
266264304.66872466,2.2114744e+08
300212165.201959,1.8142098e+08
10019061.634659003,2.2450098e+07
4975318.765551992,2.7499822e+07
98937609.26609069,7.5852296e+07
19975158.809539437,1.1978181e+07
101950708.04676476,1.198413e+08
65006641.528389476,8.516323e+07
132222940.62272716,1.5403547e+08
90422166.50445993,7.510971e+07
60008693.41855274,7.0582056e+07
129604750.97911508,1.6632066e+08
80197267.40504706,1.1526211e+08
136249728.657356,9.836408e+07
22976901.80662535,2.8260316e+07
53757835.97888369,5.3560876e+07
266264304.66872466,1.8095133e+08
89522450.91498001,8.9805096e+07
114949102.3390151,8.345218e+07
176706372.39577225,2.1324653e+08
187633284.21728548,2.6867827e+08
130907300.3813574,1.0804499e+08
26963644.051786218,1.832264e+07
21423521.245083287,3.0872328e+07
178482300.96318725,1.8155528e+08
98937609.26609069,7.82622e+07
89522450.91498001,1.3510197e+08
279915967.4948901,1.4119085e+08
65006641.528389476,6.366265e+07
14946683.593774399,2.0064614e+07
10962599.587501368,2.8892164e+07
189519030.07422003,1.0831509e+08
24890580.58235468,2.5128772e+07
129604750.97911508,1.306213e+08
25906384.44601858,4.033144e+07
60008693.41855274,6.563981e+07
96978513.34276429,1.5611213e+08
69720154.87505783,7.1729544e+07
93175931.44442067,1.5465723e+08
169777616.42877573,1.4977805e+08
29799435.251377594,2.5488298e+07
119640264.19819069,2.0596347e+08
134894021.20558435,7.396344e+07
159890537.74909166,1.5638094e+08
6783474.555766694,2.3302902e+07
119640264.19819069,9.691539e+07
59411596.94254284,5.4138304e+07
101950708.04676476,8.091749e+07
54843816.30259567,5.1795684e+07
113805339.66035822,9.714284e+07
159890537.74909166,1.5315778e+08
28918728.84196732,3.566624e+07
30098924.554667726,2.536139e+07
24890580.58235468,2.1289286e+07
18439395.618754897,1.2733428e+07
84309069.23126505,8.527083e+07
65006641.528389476,8.45021e+07
15556669.322844986,1.3801667e+07
30098924.554667726,3.3879276e+07
318776248.72895277,2.2393144e+08
129604750.97911508,1.0271295e+08
41866644.756578766,2.9163846e+07
32933469.21490072,3.0547538e+07
248263192.13467333,3.006587e+08
197253448.41573998,9.695034e+07
39036200.8312318,3.4610536e+07
69720154.87505783,1.01897096e+08
199235878.5302461,1.929331e+08
144674941.34526902,6.5925384e+07
32933469.21490072,6.962032e+07
58820441.67573725,3.984872e+07
36034955.08814159,7.796496e+07
61836230.209774315,5.206003e+07
149080949.25869176,1.4904394e+08
220189698.78888062,1.4558163e+08
199235878.5302461,1.3330076e+08
60008693.41855274,7.274914e+07
189519030.07422003,1.30527144e+08
77827079.95602347,8.319852e+07
76286000.52023272,7.7024024e+07
288440677.83109504,2.899193e+08
24890580.58235468,5.4806884e+07
101950708.04676476,9.892022e+07
129604750.97911508,1.4104846e+08
118449823.67912504,1.4242069e+08
892913259.2282063,2.1311602e+08
3992786.8352109445,1.6238597e+07
50123474.03822877,4.8658e+07
268940305.4191956,2.1577544e+08
82639637.80821343,1.01548056e+08
109342968.46481532,1.16949784e+08
155165058.21527496,8.348894e+07
328484430.81944376,1.7268603e+08
129604750.97911508,1.3320672e+08
16030440.436941221,1.2013004e+07
180276077.90943435,1.6684491e+08
76286000.52023272,7.22341e+07
85156389.4637501,8.360512e+07
76286000.52023272,4.9216172e+07
124522876.0047006,4.8443724e+07
13936195.410924874,2.1683604e+07
155165058.21527496,1.6869091e+08
149080949.25869176,1.6272773e+08
19000958.81870862,1.393416e+07
389354189.4334963,3.0665184e+08
28918728.84196732,3.3627876e+07
197253448.41573998,1.932657e+08
39824784.39757623,3.6013024e+07
18074271.122081954,2.8958646e+07
11524664.08748392,1.5254196e+07
13524318.591191292,4.869728e+07
413430507.89103097,4.5737808e+08
229175810.8656434,1.343501e+08
99931948.7701232,8.864312e+07
185766301.8451336,1.3624342e+08
16030440.436941221,1.8628192e+07
19975158.809539437,2.6149832e+07
29209366.898690887,3.20359e+07
114949102.3390151,7.0708456e+07
58235168.5021162,4.126174e+07
57082034.90556967,5.2998604e+07
119640264.19819069,1.2129212e+08
14946683.593774399,1.6554674e+07
10019061.634659003,1.923059e+07
197253448.41573998,1.489726e+08
12994022.474147985,2.5715414e+07
69720154.87505783,5.321608e+07
169777616.42877573,1.2771475e+08
5897269.4696740275,1.3837488e+07
105055569.34655978,1.1549053e+08
31960138.103857778,4.62998e+07
31960138.103857778,3.600245e+07
52169051.818940915,2.8722764e+07
66986388.50001999,6.786011e+07
44902319.023094684,3.9794264e+07
44902319.023094684,5.58789e+07
143235401.62655452,1.5951365e+08
14217725.233100275,2.0209682e+07
8623486.26524528,1.5221238e+07
12864729.79026319,1.4203431e+07
67659612.8968103,8.027339e+07
52169051.818940915,7.824652e+07
88631687.64519419,1.28012776e+08
89522450.91498001,6.6821164e+07
12994022.474147985,2.1978994e+07
123283852.68642192,1.3050997e+08
74775436.5018106,7.872677e+07
99931948.7701232,1.29583784e+08
268940305.4191956,2.9228458e+08
245792932.09897158,2.3895464e+08
74775436.5018106,4.7118068e+07
69720154.87505783,8.5795e+07
50123474.03822877,5.667449e+07
209450920.45993233,8.8012024e+07
99931948.7701232,1.0069345e+08
209450920.45993233,2.940364e+08
29799435.251377594,3.9340024e+07
14946683.593774399,1.8118642e+07
